Iteration,assSim Calls,Objective Value (real)
1,2,-0.44517722725868225
2,4,-0.642794132232666
3,6,-0.7422120571136475
4,8,-0.7720358371734619
5,10,-0.7745985388755798
6,12,-0.7857723236083984
7,14,-0.791053056716919
8,16,-0.7877691388130188
9,18,-0.7811856269836426
10,20,-0.7813671827316284
11,22,-0.7878610491752625
12,24,-0.7641769051551819
13,26,-0.777106761932373
14,28,-0.7669180035591125
15,30,-0.7754371166229248
16,32,-0.771637499332428
17,34,-0.7727985978126526
18,36,-0.7692389488220215
19,38,-0.7478275299072266
20,40,-0.622874915599823
21,42,0.21229369938373566
22,44,1.1360501050949097
23,46,0.7329163551330566
24,48,-0.013612214475870132
25,50,-0.43343669176101685
26,52,-0.56295245885849
27,54,-0.5794239044189453
28,56,-0.5891445875167847
29,58,-0.5902434587478638
30,60,-0.5841842293739319
31,62,-0.5818192362785339
32,64,-0.583408772945404
33,66,-0.6003420948982239
34,68,-0.5952750444412231
35,70,-0.5958749651908875
36,72,-0.5925027132034302
37,74,-0.5993707180023193
38,76,-0.5870447754859924
39,78,-0.579479992389679
40,80,-0.5794631838798523
41,82,-0.5862200856208801
42,84,-0.5911017656326294
43,86,-0.6001029014587402
44,88,-0.5860657691955566
45,90,-0.583564817905426
46,92,-0.6073250770568848
47,94,-0.5841560959815979
48,96,-0.6141113638877869
49,98,-0.5999285578727722
50,100,-0.5910001993179321
51,102,-0.6073230504989624
52,104,-0.5806068181991577
53,106,-0.5562158226966858
54,108,-0.6118128895759583
55,110,-0.6073830723762512
56,112,-0.593805730342865
57,114,-0.5704025626182556
58,116,-0.5855163931846619
59,118,-0.596078097820282
60,120,-0.5902777910232544
61,122,-0.6004155874252319
62,124,-0.5861564874649048
63,126,-0.6057328581809998
64,128,-0.6042423844337463
65,130,-0.5973048806190491
66,132,-0.5927005410194397
67,134,-0.611634373664856
68,136,-0.5915897488594055
69,138,-0.5871289968490601
70,140,-0.6137229204177856
71,142,-0.5798154473304749
72,144,-0.5743200182914734
73,146,-0.5856422185897827
74,148,-0.5865492224693298
75,150,-0.591377854347229
76,152,-0.5986720323562622
77,154,-0.5868895053863525
78,156,-0.5701259970664978
79,158,-0.5861477851867676
80,160,-0.5837404131889343
81,162,-0.5762532353401184
82,164,-0.590549886226654
83,166,-0.5889459848403931
84,168,-0.5770293474197388
85,170,-0.5961502194404602
86,172,-0.5845624208450317
87,174,-0.5670514702796936
88,176,-0.5898615121841431
89,178,-0.603327214717865
90,180,-0.5877503752708435
91,182,-0.611419677734375
92,184,-0.5791898369789124
93,186,-0.6069159507751465
94,188,-0.5762578248977661
95,190,-0.5949518084526062
96,192,-0.5681735277175903
97,194,-0.6014492511749268
98,196,-0.5868314504623413
99,198,-0.5701451301574707
100,200,-0.5833209753036499
