Iteration,Time (s),x_1,x_2,y_val (real)
1,0.0008611679077148438,4.0,4.0,tensor(32.)
2,0.6009211540222168,3.9700851440429688,3.9701595306396484,tensor(31.5237)
3,1.21368408203125,3.9367809295654297,3.937807083129883,tensor(31.0046)
4,1.8474822044372559,3.9057788848876953,3.9135475158691406,tensor(30.5710)
5,2.451241970062256,3.8765525817871094,3.8808441162109375,tensor(30.0886)
6,3.036181926727295,3.8445816040039062,3.848247528076172,tensor(29.5898)
7,3.721095085144043,3.814502716064453,3.8183860778808594,tensor(29.1305)
8,4.512255907058716,3.78765869140625,3.7957324981689453,tensor(28.7539)
9,5.2773659229278564,3.7589683532714844,3.763700485229492,tensor(28.2953)
10,6.1176629066467285,3.7280845642089844,3.7326202392578125,tensor(27.8311)
11,7.189971923828125,3.6969833374023438,3.7016372680664062,tensor(27.3698)
12,7.992095947265625,3.6655101776123047,3.6713333129882812,tensor(26.9147)
13,9.22307300567627,3.639780044555664,3.6440486907958984,tensor(26.5271)
14,10.163553953170776,3.6091957092285156,3.6142501831054688,tensor(26.0891)
15,11.26636528968811,3.5792369842529297,3.584217071533203,tensor(25.6575)
16,12.124181985855103,3.54876708984375,3.554830551147461,tensor(25.2306)
17,13.018556118011475,3.5171432495117188,3.5224761962890625,tensor(24.7781)
18,14.04096508026123,3.4878902435302734,3.4925613403320312,tensor(24.3634)
19,14.950758218765259,3.4575061798095703,3.4620132446289062,tensor(23.9399)
20,15.87963604927063,3.427095413208008,3.4320201873779297,tensor(23.5237)
21,16.77581214904785,3.3969783782958984,3.4022998809814453,tensor(23.1151)
22,17.881530046463013,3.3675460815429688,3.3730392456054688,tensor(22.7178)
23,18.940572261810303,3.340940475463867,3.343494415283203,tensor(22.3408)
24,19.93855905532837,3.3084964752197266,3.312732696533203,tensor(21.9203)
25,20.890051126480103,3.2787399291992188,3.283315658569336,tensor(21.5303)
26,21.875054121017456,3.249174118041992,3.2536182403564453,tensor(21.1432)
27,22.928665161132812,3.2205333709716797,3.2240943908691406,tensor(20.7666)
28,24.10514998435974,3.1899948120117188,3.194976806640625,tensor(20.3839)
29,25.257823944091797,3.1607837677001953,3.164339065551758,tensor(20.0036)
30,26.371846199035645,3.131010055541992,3.1342601776123047,tensor(19.6268)
31,27.51343011856079,3.100217819213867,3.1035842895507812,tensor(19.2436)
32,28.69889211654663,3.070802688598633,3.0745410919189453,tensor(18.8826)
33,30.107534170150757,3.0437240600585938,3.046356201171875,tensor(18.5445)
34,31.38421392440796,3.012613296508789,3.0154266357421875,tensor(18.1686)
35,32.64877891540527,2.9816017150878906,2.984525680541992,tensor(17.7973)
36,34.027536153793335,2.952138900756836,2.954906463623047,tensor(17.4466)
37,35.46966290473938,2.922466278076172,2.9250946044921875,tensor(17.0970)
38,37.316227197647095,2.928956985473633,2.895261764526367,tensor(16.9613)
39,38.83609104156494,2.8960132598876953,2.8657093048095703,tensor(16.5992)
40,40.2407431602478,2.8652820587158203,2.8356285095214844,tensor(16.2506)
41,41.65623712539673,2.8352012634277344,2.8056888580322266,tensor(15.9103)
42,43.172744274139404,2.8047332763671875,2.7755374908447266,tensor(15.5701)
43,44.75918507575989,2.7738685607910156,2.7481231689453125,tensor(15.2465)
44,46.26185393333435,2.7445144653320312,2.717325210571289,tensor(14.9162)
45,48.12476325035095,2.7145214080810547,2.6872806549072266,tensor(14.5901)
46,50.03711009025574,2.684659957885742,2.6575775146484375,tensor(14.2701)
47,51.894827127456665,2.6550827026367188,2.62652587890625,tensor(13.9481)
48,53.61889410018921,2.626253128051758,2.5956497192382812,tensor(13.6346)
49,55.21993398666382,2.596616744995117,2.5674610137939453,tensor(13.3343)
50,56.88925099372864,2.5650768280029297,2.5369834899902344,tensor(13.0159)
